method,seed,round,labels,true_return,regret,gradient_cosine,directional_gradient_bias,posterior_directional_variance,rm_error_full_centered,rm_error_policy_centered,rm_error_critical,rm_decoy_abs_mean,proxy_grad_norm,true_grad_norm,beta,l2
pool_uniform,0,2,38,1.448673040647646,1.6813269593523539,0.9355911348588342,1.9142715843836726,27.3329309453842,5.837181887318152,6.738909042588604,6.974249622716374,2.2300168304009937,2.3450349444412444,0.46041838577549915,5.0,0.001
pool_uniform,0,3,46,2.011799798950204,1.1182002010497958,0.9760110404682513,1.7317390300115916,15.780721534291677,8.339025255530268,7.065537184532812,7.569918465816237,3.3969970723986735,2.06719676966069,0.3437028125093327,5.0,0.001
pool_uniform,0,4,54,2.3270278056405815,0.8029721943594184,0.9903172602732067,1.3081435474389642,8.083060738229696,4.663741729964719,5.749749515360104,7.876318841364695,1.6477452427770398,1.551945289279638,0.24618549188309055,5.0,0.001
pool_uniform,0,5,62,2.48902135349984,0.6409786465001597,0.9853962860032144,0.9716441536769871,4.6688861880585195,5.967875075765688,5.01474375259304,7.8760324426406045,1.9935039261876768,1.1563998808824707,0.1874938335264653,5.0,0.001
pool_uniform,0,6,70,2.5856181491908545,0.5443818508091454,0.9793464352480188,0.786320597171829,2.885730874797963,5.510141147303623,4.594933783365161,7.99080931357428,1.9609594767889689,0.9331598379369633,0.14993595267230164,5.0,0.001
pool_uniform,0,7,78,2.6502488093319334,0.4797511906680665,0.9793653710884186,0.6736063649004962,1.8997580310562194,5.5878353156235026,4.338490933689561,8.175358686927558,1.9945439532474947,0.7947277671554396,0.12367335606356498,5.0,0.001
pool_uniform,0,8,86,2.6974819998165582,0.43251800018344166,0.9914525422013459,0.6019047262090859,1.3586467128478446,5.357350793417599,4.2226591112010565,10.553010591111187,1.6878378026610577,0.7047716521668,0.10375375681554677,5.0,0.001
pool_uniform,0,9,94,2.7314230146029157,0.3985769853970842,0.997190065022235,0.5189709841478808,1.0056634263124309,3.333825049351176,3.7539595572287983,6.836195244368389,1.366412548998721,0.6078003697382685,0.08907969373762982,5.0,0.001
pool_uniform,0,10,102,2.757240868699747,0.37275913130025273,0.9981380552334482,0.4647227803428208,0.7617480638360836,2.944929008214153,3.5899021458694227,6.8529983864569095,1.1588535463115208,0.5423727201258062,0.07779478938394384,5.0,0.001
pool_uniform,0,11,110,2.776596853057093,0.35340314694290687,0.9939536611965352,0.40240097750003084,0.5528368270624902,3.1296557709955763,3.3589985082473257,8.724082521308333,1.186940701300711,0.47124635362602046,0.06926417076940236,5.0,0.001
pool_uniform,0,12,118,2.7921015085324536,0.33789849146754625,0.993802323009822,0.36468940612293377,0.44090547454275547,3.1542370910427073,3.219231585751834,8.960902482810994,1.1956032238007699,0.42671177836228286,0.062409164079541106,5.0,0.001
pool_uniform,0,13,126,2.804858783093695,0.3251412169063048,0.9938669409857734,0.3351665946555585,0.36162896067154815,3.1711004611560476,3.1027610527940137,9.014229503881284,1.1688497282432868,0.3915701703575825,0.056751636839917255,5.0,0.001
pool_uniform,0,14,134,2.815497143164404,0.31450285683559587,0.9939351736826214,0.30889285771815556,0.3039445691060268,3.162515883333046,2.9942707012592407,9.019794866486945,1.2595568177602865,0.3605975108665814,0.052020146300744564,5.0,0.001
pool_uniform,0,15,142,2.824492192717093,0.3055078072829067,0.9932806512318374,0.2862950964968505,0.25846071975067925,3.2687966270668105,2.937335332830694,10.27566878401647,1.3717220012329965,0.333982550905546,0.04801005068361595,5.0,0.001
pool_uniform,0,16,150,2.8323237427262242,0.29767625727377567,0.9934263212450098,0.2715731494548776,0.21975444231555732,3.272433462663324,2.8928096557675684,10.388575254561385,1.3740594761884266,0.3157902901232905,0.04450973335697188,5.0,0.001
pool_uniform,0,17,158,2.83909402794003,0.2909059720599698,0.9934531093067096,0.25406316893801484,0.19017067891581774,3.263471570199365,2.7948038941802023,10.419360477233347,1.2626414662154208,0.2952688145784888,0.04147719228462598,5.0,0.001
pool_uniform,0,18,166,2.845064766219535,0.2849352337804647,0.9935190326575255,0.24142506979126838,0.16397739213493506,3.2320528225332836,2.7433408505531456,10.481389197141253,1.2471476081616957,0.2799703422715692,0.03879671270835903,5.0,0.001
pool_uniform,0,19,174,2.850394510366624,0.2796054896333757,0.9935867662211367,0.23141573127157122,0.14385698214294848,3.1666290827535337,2.712470196535207,10.56285969872807,1.2197669096131158,0.26758138217145194,0.03639908675256207,5.0,0.001
pool_uniform,0,20,182,2.8574774418777675,0.27252255812223236,0.9987950004773836,0.3388426867472015,0.18537112204503367,3.3579816016468396,4.025773027581609,12.782351306934777,1.2559339138926535,0.37200219145111885,0.03319951009773624,5.0,0.001
